id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
68skkC82nGjgHtorXahPgV,"Pueblo Motoquero","Venas de Acero",0.000254,0.481000,0.939000,0.004210,0.179000,-3.858000,0.042500,0.490000,286653,8,1,139.990005,4
6DL6G1WHJP6I1nHJq7DQmm,"Caníbal","Vive Siempre",0.000315,0.309000,0.796000,0.114000,0.893000,-9.534000,0.045600,0.087100,271093,7,1,82.044998,4
6Fq5XdUN3SDhgHbku0cZp3,"Gil Trabajador","El Regreso Más Esperado",0.000515,0.226000,0.872000,0.006580,0.941000,-7.521000,0.044000,0.260000,374573,4,0,97.836998,4
6Gs0EUj9Jlxqzkmkmj2FbQ,"Touch Me","Un poco de respeto",0.000148,0.461000,0.708000,0.055400,0.131000,-7.910000,0.040900,0.710000,159852,1,1,115.859001,4
6Iz47UyZU8yIFyY5M84lWz,"Abre tus ojos","Horcas",0.000148,0.401000,0.949000,0.000017,0.063600,-5.136000,0.047700,0.471000,231812,1,1,151.889008,4
6Q9zKgtiUOjwD267dt0oqt,"No Quisiste Entender","Dolarización",0.002500,0.335000,0.938000,0.000019,0.138000,-2.507000,0.074300,0.313000,236053,2,1,198.119003,3
6QBnpFQIqoDorPb9PzqB9l,"Eterna Oscuridad - En Vivo","Reinará el Thrash (En Vivo)",0.000173,0.334000,0.997000,0.010700,0.865000,-5.243000,0.123000,0.038500,289576,0,1,103.320999,4
6Stdsw4AL3c1u6VKxoR4W0,"Lörihen","Utopía",0.000153,0.288000,0.944000,0.722000,0.110000,-5.924000,0.178000,0.173000,132867,8,1,133.416000,4
6ZtqEpEhitvRNDhAf0Y3gC,"Gambeta","Hijo de Puta",0.000536,0.544000,0.986000,0.001910,0.104000,-4.347000,0.074700,0.693000,225613,8,1,94.960999,4
6d9xClgb6esQLCLSKfvhPs,"Abriendo Pasos","Vieja Escuela",0.000048,0.476000,0.958000,0.000086,0.156000,-3.420000,0.053300,0.323000,258960,8,1,139.921997,4
6dY6J9njbiFs2g56ry72o3,"El Ultimo Amigo Que Me Queda","Bizarra Actitud de Seguir Con Vida",0.000058,0.415000,0.922000,0.000006,0.732000,-5.816000,0.080000,0.218000,164616,5,0,90.008003,4
6hX0C95gRcYgOi2bxsqWiA,"Presa Fácil (En Vivo)","Vivo 2012",0.000061,0.411000,0.996000,0.001830,0.936000,-4.190000,0.114000,0.101000,246747,1,1,140.001999,4
6kFV1kn9yPQNy2z9NKQZdt,"A Golpes Te Haces","Poder",0.000517,0.528000,0.856000,0.304000,0.164000,-2.610000,0.036500,0.514000,281827,0,0,122.996002,4
6twT8cDm0tXKV1FwU51g2A,"Ghost from the Past","Somewhere in the Circle",0.000228,0.555000,0.920000,0.017200,0.511000,-3.950000,0.041200,0.291000,304747,9,0,127.028000,4
6vrOGuStR8OO3YHDvBhwlq,"La Gran 7","Yerba Mala Nunca Muere",0.000011,0.517000,0.762000,0.346000,0.137000,-7.299000,0.031800,0.659000,230227,4,0,155.908005,4
6xjcZ3aKPJoUE2bdjTxdjC,"Vivimos","La Grieta",0.009480,0.480000,0.477000,0.000000,0.094900,-10.261000,0.027600,0.329000,340973,2,1,134.020004,4
7ARzzk3CNyKK2D3F48snQR,"Castigados por Herencia","25 Años",0.000451,0.309000,0.997000,0.042000,0.761000,-2.278000,0.263000,0.246000,218653,0,1,145.901993,4
7ATQ0jmK9tg94yTCK72Ixr,"Incondicional","De Pie",0.000401,0.237000,0.973000,0.000000,0.217000,-3.263000,0.145000,0.406000,193107,2,1,146.158997,4
7GGy6RZUaVqioVZyEGLyAE,"Pogo al Corazon","Pija",0.000570,0.490000,0.984000,0.611000,0.111000,-3.711000,0.091200,0.395000,304480,3,1,130.001007,4
7IdNMscI67hrjsIOiswn1f,"El Desertor II","Carne Viva",0.000436,0.277000,0.922000,0.006480,0.220000,-4.971000,0.055200,0.076800,85760,4,0,132.095993,4
7LlsBnVmRfiOFcPXGNiukV,"Consejo y Vuelta","Lanza en Mano",0.002110,0.354000,0.986000,0.000002,0.306000,-2.958000,0.184000,0.344000,134560,9,0,160.067993,4
7MZDEgdvodkbYtmkRF1BJh,"Soy un Luchador","Rock Directo",0.000904,0.406000,0.902000,0.000006,0.315000,-2.897000,0.041200,0.920000,202547,0,1,174.942001,4
7if99SAp07tuyML6YiOTID,"Paz de Mentira","No Me Importa",0.000183,0.450000,0.956000,0.000009,0.302000,-3.391000,0.087700,0.524000,225413,9,1,136.145004,4
7p1rM7xmkxdgRFXMjKbjTN,"Ey Griten!","Tempestades",0.000004,0.414000,0.957000,0.089200,0.095700,-6.169000,0.060900,0.363000,252680,9,1,115.967003,4
7tthuC81zWDRzFPfMLtuo1,"Evitando el Ablande","30 Años",0.005080,0.277000,0.998000,0.000221,0.724000,-4.218000,0.174000,0.070900,169853,11,1,147.548996,4
7v6W6PrN6iJw4oslIlTbwS,"Vuelta al Barrio","25 Años",0.000528,0.378000,0.997000,0.000000,0.845000,-2.526000,0.110000,0.202000,270827,9,1,145.177002,4
7wsuvYYoMSRwiWGRMZc16c,"Reacción","La maldicion continua",0.000044,0.282000,0.961000,0.066100,0.125000,-6.870000,0.144000,0.181000,275920,8,1,92.425003,4
7xAMRoC7wuTxl44fFkcLwO,"Madre","Legiones",0.003040,0.505000,0.888000,0.000163,0.079300,-2.921000,0.038900,0.317000,349560,4,0,119.950996,4
010SkedS4UfogWcLSWraX2,"Encuentro","De Pie",0.478000,0.506000,0.417000,0.000002,0.104000,-6.936000,0.026400,0.269000,190840,4,1,88.742996,4
05rLSgeFPPHcSVigKCwHnb,"Nyarlathotep","Más Allá del Caos",0.000526,0.189000,0.914000,0.000941,0.248000,-5.307000,0.077100,0.098800,371600,0,1,127.878998,4
06qy0x3aSXmZzEVrDPQQbQ,"Sin Control","Bajo la Cruz",0.000150,0.477000,0.878000,0.000020,0.070300,-4.798000,0.052100,0.083000,277160,1,1,97.570000,4
0A9Tlac7AdrABmxdASCukR,"No Me Importa","No Me Importa",0.000148,0.408000,0.681000,0.001830,0.037300,-4.804000,0.047000,0.532000,310213,9,1,83.353996,4
0QIceArnlj5M6sEZxOp9gR,"Evitando el Ablande","Homenaje",0.000209,0.269000,0.997000,0.000000,0.415000,-4.101000,0.230000,0.110000,175893,4,1,154.779999,4
0RPiDnk4oAKn72s9Wf6LbD,"Ambición y Miseria","Privación Ilegítima de la Libertad",0.000033,0.441000,0.989000,0.000074,0.166000,-2.192000,0.067000,0.383000,279707,2,1,95.967003,4
0UgTKACVVrfwOzwmXeQWqy,"Cautivos del Sistema","No Se Rindan",0.038000,0.234000,0.907000,0.000266,0.216000,-10.610000,0.095800,0.471000,231667,11,1,95.346001,4
0XCEG059GCJfo36nha29FY,"Caníbal","Yerba Mala Nunca Muere",0.000055,0.518000,0.824000,0.000717,0.094100,-9.466000,0.033600,0.427000,231827,10,1,155.932999,4
0cxgDM0bQwXSUecpCeX8Bc,"Mundo Careta","Conquista",0.000018,0.558000,0.938000,0.168000,0.128000,-3.623000,0.062900,0.365000,239493,8,1,105.045998,4
0hoSzATrzj8GLzoPxUAIs5,"Fuego","La maldicion continua",0.000007,0.208000,0.986000,0.018800,0.585000,-7.030000,0.115000,0.055300,194371,8,1,116.875999,4
16q5gQFTHUZXFqMaJcLLu1,"Azeroth","Más Allá del Caos",0.000123,0.386000,0.918000,0.918000,0.294000,-6.654000,0.079700,0.215000,254147,9,1,160.067001,4
195S5M4xlW21cQwu6zxCi4,"La Ira De Dios","Dos Caras",0.000242,0.406000,0.827000,0.000000,0.109000,-3.569000,0.058200,0.429000,278361,7,1,83.204002,4
1A3VG8loWaD1I8WamRSAvd,"Sentir la fe","Rock Directo",0.097000,0.636000,0.675000,0.000004,0.117000,-3.904000,0.029400,0.823000,235213,7,1,127.971001,4
1G6KkeAffWvJ5BVzqr8Xlu,"Sepulcro Civil","25 Años",0.000071,0.262000,0.999000,0.112000,0.643000,-1.886000,0.289000,0.037900,239240,9,1,144.718994,4
1HJzKkC8VtOqfVAxq2Ij60,"Estamos Pariendo","Estamos Pariendo",0.002260,0.575000,0.743000,0.002180,0.373000,-6.650000,0.030500,0.667000,168440,2,1,128.966995,4
1KpwCqOkdPfI3iXtqOHtHE,"Privación Ilegítima de la Libertad","Privación Ilegítima de la Libertad",0.000029,0.351000,0.995000,0.000253,0.062000,-1.491000,0.091400,0.213000,288440,6,0,114.831001,4
1NG5cpALEKKCGgS2oJyD1I,"Algunas veces","Naturaleza Muerta",0.007670,0.565000,0.722000,0.000080,0.253000,-7.563000,0.026700,0.323000,171732,3,1,109.862000,4
1RtAaLpQ9c14WOnA8Rq6Mo,"Engendro","Cultura brutal",0.000114,0.616000,0.977000,0.510000,0.118000,-4.039000,0.224000,0.106000,334560,11,0,104.985001,4
20hSW7gCpLMRcNOzrZejoA,"For All the Eternity","Firesoul",0.000013,0.549000,0.970000,0.000478,0.272000,-3.204000,0.104000,0.253000,242440,2,1,150.031006,4
20rKNlOMquRRBHcAsOQtjk,"Una casa con diez pinos","Un poco de respeto",0.000068,0.509000,0.861000,0.000015,0.246000,-6.913000,0.038100,0.590000,161892,2,1,135.570007,4
29mX6Zvn6qsr5guDWyVjto,"Misterio Serial","Conquista",0.000011,0.546000,0.968000,0.101000,0.179000,-4.029000,0.095400,0.270000,236667,1,1,130.261993,4
29pMR3EasfOyLbgIQ6KSOw,"Al Acecho","20 Años Pogo en el Andén",0.378000,0.643000,0.658000,0.000015,0.105000,-5.461000,0.029400,0.371000,376187,4,0,120.014999,4
2Pgs6vWgQBMcXBuPJqNGMc,"Hoy Mas Que Nunca de Pie","Lanza en Mano",0.000217,0.423000,0.977000,0.000142,0.060700,-4.128000,0.090400,0.195000,342280,9,0,103.347000,4
2SXUz5ETMBTt5eOvgYrnHW,"Tus sermones","Un lugar que nunca muere (Vol. 1)",0.000008,0.338000,0.983000,0.005330,0.327000,-4.675000,0.088300,0.393000,273093,6,0,138.399994,4
2VLExZobJzCBV2P8P3o5FM,"Tierratas","Desde las tinieblas",0.000029,0.182000,0.988000,0.120000,0.087700,-4.441000,0.147000,0.157000,286067,11,0,179.929001,4
324YckvOymgItxbTFSrHEe,"Hiena del Metal","No Se Rindan",0.000081,0.368000,0.592000,0.000002,0.082300,-13.544000,0.100000,0.461000,226160,7,1,123.467003,4
38sWQweIz6VfTfcjcL607O,"Golpe Subterráneo","Paradigma",0.000028,0.386000,0.875000,0.139000,0.145000,-5.920000,0.044800,0.232000,302118,11,1,82.500999,4
3DI3NhuSKftr5PkMQWOf3n,"Espejismos del Edén","La Grieta",0.000010,0.526000,0.698000,0.000015,0.237000,-9.427000,0.031300,0.357000,269973,9,1,94.992996,4
3DtzfS5JDiYYik3ZviKlgq,"H.R.D.","Poder",0.000131,0.421000,0.887000,0.601000,0.098300,-4.352000,0.058400,0.355000,332773,2,1,155.063995,4
3FckIAmO6fbuoya36xgcCw,"Siervos del Mal","Un Paso Mas en la Batalla",0.008690,0.318000,0.741000,0.001780,0.348000,-11.841000,0.071000,0.498000,208133,9,0,124.781998,4
3LuOboY25F2aRGF2yzsNol,"Angel de las Tinieblas","Luchando por el Metal",0.000702,0.304000,0.944000,0.000000,0.037900,-4.605000,0.069500,0.488000,153653,4,1,88.939003,4
3Vm3YWPdxpYStMg2OOFrtU,"Momento de Lucha","Un Paso Mas en la Batalla",0.000189,0.268000,0.950000,0.000000,0.348000,-5.026000,0.193000,0.425000,173560,4,0,133.723999,4
3chcpzXGjbKNsYpLl8xo0o,"Billetín","La Concha de Dio$",0.000331,0.552000,0.944000,0.000012,0.111000,-4.886000,0.056500,0.606000,286375,8,1,140.029999,4
3e6CuaSkD3t9lisJky7oFB,"Tratando de Respirar","Acero",0.000332,0.573000,0.979000,0.015800,0.108000,-3.200000,0.079100,0.371000,286613,10,0,115.031998,4
3eZ2F1qEpoqvWpLxnnZmAv,"Tecnósfera","Naturaleza Muerta",0.002130,0.553000,0.774000,0.000011,0.306000,-5.945000,0.033200,0.382000,193744,7,0,109.941002,4
3fc0QWQycGFzyA16Z6iKQz,"Mas alla de la razón","Carnivora",0.000034,0.588000,0.949000,0.002500,0.100000,-3.471000,0.133000,0.207000,216387,10,0,100.005997,4
3iAgSpX4w5sB8EulsmewGt,"Me Gustas Mucho","Bizarra Actitud de Seguir Con Vida",0.000454,0.335000,0.824000,0.605000,0.299000,-6.648000,0.046700,0.151000,170016,1,1,195.033997,3
3kOJVUDSiGxlqCia7qUqIO,"Carne Viva","Carne Viva",0.004560,0.511000,0.766000,0.002650,0.133000,-7.249000,0.051500,0.316000,349640,4,0,116.778000,4
3nGIrIOn2x4nPEMpiy2Qi3,"Hijos del Hombre","La Grieta",0.000457,0.470000,0.886000,0.000000,0.263000,-8.361000,0.044200,0.312000,246653,2,1,181.177994,4
3tRRM043wNHc0DYvuwNPUa,"Abuso de Poder (versión acústica)","Abuso de Poder",0.564000,0.306000,0.413000,0.000000,0.167000,-5.832000,0.030000,0.119000,263146,2,0,155.294998,4
3vh6Iu71kT9KBVqQVOV6pM,"Síndrome","Gritando Verdades",0.000054,0.561000,0.973000,0.000421,0.304000,-3.240000,0.050300,0.344000,230519,2,1,104.988998,4
40YMuNXmpzDjL0K8DsM5Mm,"El Abismo de tu Soledad","El Abismo de tu Soledad",0.000015,0.331000,0.929000,0.022400,0.273000,-7.352000,0.049300,0.602000,231291,7,1,179.938004,4
44sdYpoGufpL9BPXi7SUa9,"Ardiendo en Llamas","Reinara la Tempestad",0.000274,0.304000,0.823000,0.000224,0.090100,-13.302000,0.116000,0.192000,241093,11,0,177.042999,4
46CkDnmwTuHuQmM7VTr77Z,"El Secreto Más Perverso","Fuego y Madera",0.226000,0.623000,0.690000,0.000000,0.107000,-6.508000,0.039800,0.298000,278533,1,0,115.155998,4
